date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2025-07-21,1,900854,GH02,798.0,5.9310775,29.013659,35.918545,123.44615,432.28195,479.23157,32.137318,31.856575,90.304306,final
2025-08-01,1,900854,GH02,798.0,25.695488,19.240726,36.42857,88.74311,400.81204,445.94168,126.627754,44.19372,89.992134,final
2025-08-11,1,900854,GH02,798.0,18.46366,22.309565,50.090225,70.56395,376.5338,418.53067,85.91737,72.90543,90.08411,final
2025-08-21,1,900854,GH02,798.0,7.1666665,40.29837,51.325817,81.84866,321.099,398.912,26.85895,64.85513,80.73517,final
2025-09-01,1,900854,GH02,798.0,19.56015,47.960987,45.190475,110.568924,256.60272,372.09845,46.374043,43.42904,69.37253,final
2025-09-11,1,900854,GH02,798.0,114.97744,58.86274,141.70425,147.1221,298.1328,370.051,187.86766,96.438484,80.824425,final
2025-09-21,1,900854,GH02,798.0,88.56516,74.246155,223.10275,181.06989,310.3471,386.36472,118.06903,122.58983,80.57628,final
2025-10-01,1,900854,GH02,798.0,81.2193,60.72924,284.7619,193.83813,366.38095,393.15018,131.17343,145.72752,93.2766,final
2025-10-11,1,900854,GH02,798.0,145.51003,61.798496,315.2945,196.7739,507.089,414.45993,225.3195,158.73932,122.08294,final
2025-10-21,1,900854,GH02,798.0,77.588974,62.366375,304.3183,184.8941,578.7469,447.81265,122.596725,162.8899,128.91576,final
2025-11-01,1,900854,GH02,798.0,42.969925,25.036633,266.0689,149.2015,596.0213,453.60855,159.70473,175.78874,131.05322,final
2025-11-11,1,900854,GH02,798.0,37.62406,19.637928,158.18295,107.04094,615.1817,450.93692,173.00182,145.64583,136.02357,final
2025-11-21,1,900854,GH02,798.0,45.170425,17.316584,125.76441,61.991146,653.1855,427.95514,224.81229,195.19653,152.02164,final
2025-12-01,1,900854,GH02,798.0,28.953634,10.696783,111.74812,47.651295,662.5789,390.69092,216.30952,221.73836,168.7122,final
2025-12-11,1,900854,GH02,798.0,26.373434,8.793275,100.4975,36.80664,573.9749,340.62146,227.45456,252.34628,167.51706,final
2025-12-21,1,900854,GH02,798.0,33.075188,6.337343,88.40225,25.827402,518.485,272.71265,335.8387,302.9845,188.4988,final
2026-01-01,1,900854,GH02,798.0,11.69173,3.6427736,71.14035,18.88914,448.95743,215.7081,193.12932,318.7237,205.68228,final
2026-01-11,1,900854,GH02,798.0,2.255639,2.7609022,47.022556,12.792106,305.70303,156.9993,93.48963,292.3912,191.79282,final
2026-01-21,1,900854,GH02,798.0,2.0889723,6.756349,16.03634,13.160025,230.203,100.93584,60.29909,115.838715,222.02402,final
2026-02-01,1,900854,GH02,798.0,64.686714,12.038555,69.03133,21.555805,251.9198,88.25856,408.9943,278.77643,275.49194,prelim
2026-02-11,1,900854,GH02,798.0,21.901003,19.411488,88.67669,38.20639,236.19675,88.55598,110.19813,216.8121,257.8101,prelim
2026-02-21,1,900854,GH02,798.0,6.56015,17.82736,93.147865,49.2774,197.58646,89.00999,50.641644,180.82639,215.49461,prelim
2026-03-01,1,900854,GH02,798.0,31.344612,31.506975,59.805763,68.74582,199.97745,109.190765,99.55526,87.877205,179.5044,forecast
2022-01-01,1,900855,GH04,1249.0,1.5380304,2.1742995,4.903923,8.756019,159.07445,159.85374,91.13128,71.99702,99.52728,final
2022-01-11,1,900855,GH04,1249.0,1.0680544,1.7384841,4.571657,6.952602,129.70778,108.28506,90.05073,80.08011,118.91045,final
2022-01-21,1,900855,GH04,1249.0,1.307446,3.7288764,3.9135308,7.64166,88.566864,61.455456,72.259544,70.50917,140.79636,final
2022-02-01,1,900855,GH04,1249.0,1.3090472,5.1451826,3.6845477,10.612543,58.3723,48.070827,62.18762,55.62545,119.4108,final
2022-02-11,1,900855,GH04,1249.0,3.1192954,8.604644,5.7357883,17.478703,24.168934,44.53392,59.68032,47.759823,58.886784,final
2022-02-21,1,900855,GH04,1249.0,5.2690153,10.377849,9.697358,24.127676,18.429142,43.559727,66.77797,50.458397,48.248093,final
2022-03-01,1,900855,GH04,1249.0,22.458767,22.7083,30.847076,41.690792,39.435547,61.059353,99.09943,76.775475,67.26609,final
2022-03-11,1,900855,GH04,1249.0,27.828663,28.990232,55.556446,62.07638,65.86389,86.50768,96.582634,90.27983,77.44038,final
2022-03-21,1,900855,GH04,1249.0,24.167334,32.499546,74.454765,84.19808,88.06565,115.967415,77.780495,89.07677,76.93448,final
2022-04-01,1,900855,GH04,1249.0,35.494797,46.428127,87.49079,107.91791,122.022415,160.22124,78.74056,81.90977,76.880196,final
2022-04-11,1,900855,GH04,1249.0,49.53563,43.878784,109.19776,122.80646,170.48999,202.36154,111.573204,89.352104,84.62996,final
2022-04-21,1,900855,GH04,1249.0,55.903923,44.278114,140.93436,134.58502,225.08649,242.91078,123.59223,104.54871,92.810196,final
2022-05-01,1,900855,GH04,1249.0,55.714973,46.947933,161.15453,135.10483,279.4924,284.71353,116.87659,118.593,98.19783,final
2022-05-11,1,900855,GH04,1249.0,38.258606,43.49437,149.8775,134.72041,314.6317,319.60324,89.203354,110.84815,98.46843,final
2022-05-21,1,900855,GH04,1249.0,52.755005,52.508087,146.72858,142.9504,362.1177,361.7335,100.42936,102.55368,100.104774,final
2022-06-01,1,900855,GH04,1249.0,31.390713,60.269737,122.40433,156.27219,371.04965,399.29492,55.75434,78.999565,93.013695,final
2022-06-11,1,900855,GH04,1249.0,46.520416,51.30571,130.66614,164.08353,389.7414,421.6104,91.50123,80.23617,92.52972,final
