country,district_id,district_name,time,year,label,elev_std,rainfall_std,ntl_std,temp_std,travel_std,pop_dens_std,poverty_std
BFA,174,Toece,2,2021,DHS 2021,-0.09178696233317961,-0.47115884578060285,-0.1004629510538513,0.453482654653475,0.03210530690240147,-0.26957323470752265,0.4841528126447803
BFA,175,Guiaro,1,2010,DHS 2010,-0.21299051679596995,0.3608372266823798,-0.14833133318376757,-0.897418122993547,0.8558967244417544,-1.870338280369108,-1.4576518424896527
BFA,175,Guiaro,2,2021,DHS 2021,-0.21299051679596995,-0.033475807261749264,-0.1457557821082692,0.2527697887448643,0.8558967244417544,-1.870338280369108,-1.4576518424896527
BFA,176,Pô,1,2010,DHS 2010,-0.6455357643436634,0.5264470620302828,0.0035838261775608797,-0.8418659712121761,0.3541537813446345,0.3669580408253635,-0.9636338934628043
BFA,176,Pô,2,2021,DHS 2021,-0.6455357643436634,-0.030662803647645863,0.0011486069042444865,0.30607501727052366,0.3541537813446345,0.3669580408253635,-0.9636338934628043
BFA,177,Tiébélé,1,2010,DHS 2010,-1.081746446001876,0.47522449533848987,-0.11259906657006902,-0.5399257922583325,0.07269205694052285,0.3669580408253635,-0.9636338934628043
BFA,177,Tiébélé,2,2021,DHS 2021,-1.081746446001876,-0.1474668637686002,-0.1459701740616203,0.46409634132042027,0.07269205694052285,0.3669580408253635,-0.9636338934628043
BFA,178,Zecco,1,2010,DHS 2010,-1.5570253970184733,0.4584696484152968,-0.14833133318376757,-0.5293647267448974,-0.3332319186304752,1.5995235444207534,-1.4576518424896527
BFA,178,Zecco,2,2021,DHS 2021,-1.5570253970184733,-0.17185546653127007,-0.0713522481084122,0.4881021115607122,-0.3332319186304752,1.5995235444207534,-1.4576518424896527
BFA,179,Ziou,1,2010,DHS 2010,-1.6310080439933932,0.4933275926711419,-0.14833133318376757,-0.46238326041685995,0.10173688436186348,0.60055553618571,-1.4576518424896527
BFA,179,Ziou,2,2021,DHS 2021,-1.6310080439933932,-0.14533097919023366,-0.1304478108141672,0.5071193964463719,0.10173688436186348,0.60055553618571,-1.4576518424896527
BFA,180,Bere,1,2010,DHS 2010,-0.4059846645193064,-0.418720612623942,-0.1339209102063381,-0.6411741537649577,-0.2919696683292232,0.7650030916311512,-2.199698621416025
BFA,180,Bere,2,2021,DHS 2021,-0.4059846645193064,-0.6093855630546844,-0.14833133318376757,0.46388585670631094,-0.2919696683292232,0.7650030916311512,-2.199698621416025
BFA,181,Binde,1,2010,DHS 2010,-0.6447857283086693,-0.35790546923385735,-0.14833133318376757,-0.45962064985654694,-0.9919156577607555,0.26238652393195333,-2.199698621416025
BFA,181,Binde,2,2021,DHS 2021,-0.6447857283086693,-0.5758531160926462,-0.14460532384549163,0.6764384821591205,-0.9919156577607555,0.26238652393195333,-2.199698621416025
BFA,182,Gogo,1,2010,DHS 2010,-0.6557733558462271,0.16139881171683973,-0.14833133318376757,-0.506485049190172,0.43200534858324613,-0.4971957345918155,-2.199698621416025
BFA,182,Gogo,2,2021,DHS 2021,-0.6557733558462271,-0.13287270745211702,-0.1461089215581456,0.559851054398547,0.43200534858324613,-0.4971957345918155,-2.199698621416025
BFA,183,Gomboussougou,1,2010,DHS 2010,-1.0826886620885414,0.3440305437137529,-0.14833133318376757,-0.43998769747457905,0.4870650317758507,0.3529099506017269,-2.199698621416025
BFA,183,Gomboussougou,2,2021,DHS 2021,-1.0826886620885414,0.052479476011771296,-0.14136858895900997,0.5608140215081516,0.4870650317758507,0.3529099506017269,-2.199698621416025
BFA,184,Guiba,1,2010,DHS 2010,-0.09383287913326173,-0.11821097609290618,-0.12782134500227263,-0.6524456048510447,-0.68717980818319,0.7031473428301087,-2.199698621416025
BFA,184,Guiba,2,2021,DHS 2021,-0.09383287913326173,-0.2779487968418622,-0.13256522840638343,0.45174089447164933,-0.68717980818319,0.7031473428301087,-2.199698621416025
BFA,185,Manga,1,2010,DHS 2010,-0.460646543382818,-0.06656277216995751,0.2257624543559602,-0.603823658989535,-0.9817771954222144,1.343869899438185,-2.199698621416025
BFA,185,Manga,2,2021,DHS 2021,-0.460646543382818,-0.2789294048036721,1.545638542045512,0.5076140352895518,-0.9817771954222144,1.343869899438185,-2.199698621416025
BFA,186,Nobere,1,2010,DHS 2010,-0.4210561181548754,-0.08900470047389797,-0.14833133318376757,-0.7120916823770417,-0.26843583500091284,-0.07572464643079962,-2.199698621416025
BFA,186,Nobere,2,2021,DHS 2021,-0.4210561181548754,-0.25556537654959954,-0.14472017436115833,0.4082179383871746,-0.26843583500091284,-0.07572464643079962,-2.199698621416025
BFA,187,Bilanga,1,2010,DHS 2010,-0.44121567211680657,-0.20575452948461295,-0.14407677833343532,-0.48344750817482784,-0.2661866717086791,-0.09725841777629847,-0.6948000136868395
BFA,187,Bilanga,2,2021,DHS 2021,-0.44121567211680657,-0.7307390487737565,-0.14371176221510734,0.6289321047524518,-0.2661866717086791,-0.09725841777629847,-0.6948000136868395
BFA,188,Bogandé,1,2010,DHS 2010,-0.28939543317216115,-0.5777371767143162,-0.10412437702701775,-0.07804361715075563,0.11558625888418742,0.2517962709033342,0.3137495469901259
BFA,188,Bogandé,2,2021,DHS 2021,-0.28939543317216115,-1.201707329351505,-0.12858312762283935,1.1026645636349235,0.11558625888418742,0.2517962709033342,0.3137495469901259
BFA,189,Koalla,1,2010,DHS 2010,-0.6823422479897592,-0.6822649900223747,-0.14833133318376757,0.23677295807182328,0.24486755353899503,0.2517962709033342,0.3137495469901259
BFA,189,Koalla,2,2021,DHS 2021,-0.6823422479897592,-1.3461897848215922,-0.14771484298253248,1.3128597614095994,0.24486755353899503,0.2517962709033342,0.3137495469901259
