district_name,district_code,region,name_clean,area_km2,elev_mean,elev_median,elev_sd,precip_mean,travel_time_mean,travel_time_median,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density
Tain,GHA3.11_2,Bono,tain,1837.4718863557894,242.5476531982422,244.3816554723761,40.14551544189453,1108.842041015625,100.28136444091797,98.39893778517833,0.215,0.1,0.5686036178666639,0.4313963821333361,14686,115568,0.12707669943236882,62.895111951455775
Wenchi,GHA3.12_2,Bono,wenchi,1150.0457275068777,241.64352416992188,234.62249269334026,70.23973846435547,1141.8792724609375,59.544254302978516,57.84853530333342,0.23600000000000002,0.1,0.598271932,0.40172806774941106,16317,124758,0.130789208,108.48090385975883
Atebubu-Amantin,GHA4.1_2,Bono East,atebubu amantin,2636.727986369348,134.76319885253906,133.2963217,21.932981491088867,1201.121826171875,211.48233032226563,203.65831954345245,0.28800000000000003,0.1,0.5005464021519839,0.49945359784801613,21392,144947,0.147584979,54.97229928506402
Kintampo North,GHA4.2_2,Bono East,kintampo north,4910.300733227013,135.66383361816406,122.30515369807449,52.81977462768555,1093.757813,149.11778259277344,128.93708860707721,0.281,0.1,0.5100307777193451,0.48996922228065487,20090,140250,0.14324420677361854,28.56240536367897
Kintampo South,GHA4.3_2,Bono East,kintampo south,1520.2069171665191,283.9947204589844,281.4024202143237,94.72025299072266,1160.7501220703125,69.756500244140625,69.75712601358421,0.26,0.1,0.5129941658847048,0.4870058341152952,12361,88384,0.1398556299782766,58.13945391377184
Nkoranza North,GHA4.4_2,Bono East,nkoranza north,1393.0378481365235,236.3994903564453,214.75049519353394,86.01423645019531,1176.6741943359375,109.65245819091797,101.54654110363171,0.258,0.1,0.588074743,0.41192525719084605,7398,56468,0.13101225472834171,40.535869198053476
Nkoranza South,GHA4.5_2,Bono East,nkoranza south,926.9235390062638,247.0677947998047,238.1898412595568,60.897377014160156,1192.631836,99.29217529296875,89.38566123108264,0.18,0.1,0.6456710782847299,0.3543289217152701,14521,114642,0.12666387536853857,123.68010431896616
Pru East,GHA4.6_2,Bono East,pru east,1659.434794348841,106.00784301757813,106.29723384433318,20.430864334106445,1177.686035,268.5031433105469,258.36112753641044,0.303,0.1,0.46673096630297184,0.5332690336970282,13883,100840,0.1376735422451408,60.76767845498227
Pru West,GHA4.7_2,Bono East,pru west,1576.344311041778,158.54176330566406,141.60901413484217,49.26563644,1162.3958740234375,156.33316040039063,151.29271403397948,0.38299999999999995,0.2,0.43041050563540484,0.5695894943645952,9928,69820,0.14219421369235177,44.29235384105723
Sene East,GHA4.8_2,Bono East,sene east,4412.345428107698,110.53182220458984,109.79758815475368,26.31389808654785,1294.1480712890625,419.2560729980469,383.12491238041576,0.495,0.2,0.38107694160973343,0.6189230583902665,11672,72081,0.16192894105242714,16.336209658660618
Sene West,GHA4.9_2,Bono East,sene west,3277.3936080216768,121.62745666503906,120.6506037,23.32563591003418,1243.4696044921875,372.954834,354.16169977608604,0.268,0.1,0.42388059701492536,0.5761194029850747,10080,70104,0.1437863745292708,21.390168037313245
Techiman,GHA4.10_2,Bono East,techiman,651.9763608018063,357.9873962402344,359.0255104780542,37.89472579956055,1204.3641357421875,26.850313186645508,22.421804898510654,0.098,0,0.7206337785081216,0.2793662214918784,30487,243335,0.12528818295765098,373.22672205591084
Techiman North,GHA4.11_2,Bono East,techiman north,391.14804224477734,398.1676330566406,396.4837825456481,71.35862731933594,1199.4390869140625,32.737518310546875,33.001156051157636,0.15,0.1,0.6824326660443246,0.3175673339556754,13102,102529,0.12778823552360796,262.1232600618212
Abura-Asebu-Kwamankese,GHA5.1_2,Central,abura asebu kwamankese,378.5179519338074,78.63397216796875,77.78754335778505,23.278339385986328,1317.2982177734375,87.54003906,84.77271737320416,0.28,0.1,0.6850629817634893,0.31493701823651066,14603,124465,0.1173261559474551,328.8219207678836
Agona East,GHA5.2_2,Central,agona east,328.8989709037679,94.75321197509766,94.77981340618683,30.35692596435547,1273.5999755859375,25.127099990844727,24.614030576954598,0.259,0.1,0.7365473352980545,0.2634526647019455,11219,98637,0.11374028001662662,299.9006039
Agona West,GHA5.3_2,Central,agona west,357.9443064667235,110.02299499511719,111.56058851415133,24.76337432861328,1390.2427978515625,34.08864974975586,33.79383010879845,0.21,0.1,0.7754900637673335,0.22450993623266646,14673,136569,0.10744019506623026,381.53700878238783
Ajumako-Enyan-Essiam,GHA5.4_2,Central,ajumako enyan essiam,523.7007221617388,64.98775482177734,65.72283275720828,20.547290802001953,1336.6275634765625,66.61385345458984,64.11243145038465,0.29600000000000004,0.1,0.7156357891041021,0.2843642108958979,14799,120586,0.12272568954936726,230.25746365642482
Asikuma-Odoben-Brakwa,GHA5.5_2,Central,asikuma odoben brakwa,776.3136468987457,119.11754608154297,116.96081676159072,31.427852630615234,1475.1014404296875,76.08921051,68.70224889,0.29,0.1,0.702295015,0.297704985,15344,126993,0.12082555731418267,163.58465487154274
Assin Central,GHA5.6_2,Central,assin fosu,280.09106577182786,156.2163848876953,153.0866657247958,19.839126586914063,1522.797363,83.41552734,72.80218225,0.18100000000000002,0.1,0.8273658478257981,0.17263415217420186,10797,88753,0.12165222584025329,316.8719421857652
Assin North,GHA5.7_2,Central,assin north,729.3760482606858,120.51190185546875,118.90096213317624,21.60010528564453,1495.0784912109375,88.415191650390625,83.23403957991601,0.319,0.1,0.6772431274856868,0.3227568725143132,9872,80539,0.12257415661977428,110.4217778909222
Assin South,GHA5.8_2,Central,assin south,1106.2328549033875,132.33187866210938,133.14857054282834,25.292959213256836,1461.277099609375,128.7773438,103.92896399852295,0.27399999999999997,0.1,0.6965014837457328,0.30349851625426716,13400,105995,0.12642105759705646,95.81617426220544
Awutu Senya East,GHA5.10_2,Central,awutu senya east,108.52129219312074,43.073509216308594,41.69892388716725,19.26953697,998.74505615234375,45.26133728027344,45.185990983321595,0.106,0,0.880216436,0.11978356376160704,25759,236527,0.10890511442668278,2179.5446333156883
Awutu Senya West,GHA5.9_2,Central,awutu senya,245.64582233684428,98.730804443359375,98.63421164929295,32.660465240478516,1164.9420166015625,37.32503128051758,37.32392914502254,0.225,0.1,0.6994511396577349,0.30054886034226513,20877,161460,0.12930137495354888,657.2877912761585
Cape Coast,GHA5.11_2,Central,cape cape metropolitan area,122.97541305387823,41.11708450317383,42.29758341,21.366779327392578,1317.2518310546875,78.68743896484375,77.39187627,0.129,0.1,0.877737041,0.12226295865748604,17790,189925,0.093668553,1544.414410031619
Effutu,GHA5.12_2,Central,effutu,85.60422507641532,18.539066314697266,17.219435233035412,12.55492877960205,1041.018798828125,31.021692276000977,29.769233638321726,0.217,0.1,0.7917730379642592,0.20822696203574076,9344,108816,0.085869725,1271.1522112706996
Ekumfi,GHA5.13_2,Central,ekumfi,278.0008856,26.273006439208984,24.413848924926913,16.234739303588867,1204.996337890625,52.807491302490234,52.684900157192004,0.315,0.1,0.6183251800937106,0.3816748199062894,6677,56741,0.11767504978763152,204.10366638197945
Gomoa Central,GHA5.14_2,Central,gomoa central,122.05710312896059,25.727413177490234,22.123501057686784,16.22352409362793,1193.305176,34.81766891479492,34.215737923211464,0.188,0.1,0.751311945,0.24868805491731205,9910,82592,0.11998740798140256,676.6668869138787
Gomoa East,GHA5.15_2,Central,gomoa east,542.2910953864082,50.643253326416016,47.29633553232702,26.79899787902832,1096.1065673828125,31.28726577758789,31.480437518885477,0.14400000000000002,0.1,0.8359093153077887,0.16409068469221133,37237,308697,0.12062637472991315,569.2459319842578
Gomoa West,GHA5.16_2,Central,gomoa west,338.65939356647425,56.81382369995117,56.55851828219103,23.44467544555664,1298.598145,38.58502197265625,37.369516677015184,0.28300000000000003,0.1,0.64294124,0.35705875960005795,15728,129512,0.12144048427944901,382.4255357
Komenda-Edina-Eguafo-Abirem-,GHA5.17_2,Central,komenda edina eguafo abirem,454.6593910918979,38.52720642089844,37.245630981685004,23.352161407470703,1409.308349609375,100.01841735839844,97.25527583,0.251,0.1,0.695991342,0.30400865825204504,19143,166017,0.11530746851226079,365.14587238877436
Mfantseman,GHA5.18_2,Central,mfantsiman,302.1283521050971,45.739784240722656,47.83455392312472,21.89349937438965,1235.093262,68.90583038330078,67.01111366820723,0.24,0.1,0.7278133829508648,0.27218661704913516,19268,168905,0.11407595985909239,559.0504791197001
Twifo-Atti-Morkwa,GHA5.19_2,Central,twifo ati morkwa,959.9359881661643,110.35780334472656,104.01337235493023,31.47208023071289,1517.7757568359375,146.10385131835938,137.6302235549198,0.341,0.1,0.6796564079222249,0.3203435920777751,12412,100851,0.12307265173374582,105.06013030375392
Twifo-Hemang-Lower Denkyira,GHA5.20_2,Central,twifo heman lower denkyira,578.2730199007883,114.08600616455078,107.50087603814694,35.89664077758789,1479.285645,139.80157470703125,135.93698422579428,0.321,0.1,0.6983205729809829,0.30167942701901707,7559,66075,0.11440030268634128,114.2626367236296
Upper Denkyira East,GHA5.21_2,Central,upper denkyira east,504.2637988372515,149.64088439941406,145.38559077460351,31.863584518432617,1469.477294921875,83.22935485839844,75.82444759331341,0.243,0.1,0.7498393591501028,0.2501606408498972,13696,110141,0.12434969720630827,218.41940717133937
Upper Denkyira West,GHA5.22_2,Central,upper denkyira west,581.8114866238785,144.9062957763672,145.23130310919518,17.699337005615234,1419.4498291015625,99.66141510009766,101.96970188314518,0.245,0.1,0.6659543695519043,0.33404563044809565,11962,91025,0.13141444658060972,156.45101908901395
Abuakwa North,GHA6.1_2,Eastern,abuakwa north,159.6560109,233.74842834472656,223.94084628915184,48.91324996948242,1438.5755615234375,22.853456497192383,19.60832851754837,0.157,0.1,0.8343894528199892,0.16561054718001078,7765,76195,0.10190957411903669,477.24479366622097
Abuakwa South,GHA6.2_2,Eastern,abuakwa south,351.0672371444439,279.89898681640625,250.49669865549708,94.08518981933594,1505.308349609375,47.01540756225586,40.296744471017035,0.21100000000000002,0.1,0.776845551,0.223154449,9360,89051,0.10510830872196832,253.65796228760777
Achiase,GHA6.3_2,Eastern,achiase,416.4228283294191,169.7184600830078,170.62621007991788,19.635210037231445,1566.3692626953125,39.12888717651367,32.16756086,0.299,0.1,0.6995768688293371,0.3004231311706629,6671,56348,0.11838929509476823,135.3143876046701
Akwapem North,GHA6.4_2,Eastern,akwapim north,307.9614934251466,248.7883301,220.8733443695507,101.4598388671875,1198.672363,24.606779098510742,20.212181044987297,0.201,0.1,0.8349818252418807,0.1650181747581193,10132,105315,0.096206618,341.9745723034622
Akwapem South,GHA6.5_2,Eastern,akwapim south,225.2655694959473,209.0041046142578,191.91187136346088,103.71355438232422,1151.6820068359375,31.895416259765625,31.641454935099983,0.19399999999999998,0.1,0.8269427592447008,0.17305724075529916,7830,76922,0.10179142507995112,341.47251251986773
Akyemansa,GHA6.6_2,Eastern,akyemansa,614.6668199891537,137.0585174560547,135.3436672524676,20.06645965576172,1509.070556640625,62.32732009887695,59.66834521712457,0.23600000000000002,0.1,0.6762979045955009,0.3237020954044991,10822,91038,0.11887343746567368,148.10950752410295
Asene-Manso-Akroso,GHA6.7_2,Eastern,asene manso akroso,420.8806224,161.21316528320313,157.11048625481595,23.087533950805664,1546.3531494140625,35.38952637,34.60977746995497,0.257,0.1,0.718140545,0.281859455,9135,77498,0.11787400965186198,184.13297235412475
Asuogyaman,GHA6.8_2,Eastern,asuogyaman,769.3365029360577,120.57649230957031,82.91986441,74.54106903076172,1220.3092041015625,104.6767578,99.92146185740273,0.218,0.1,0.7867779783393501,0.21322202166064985,10130,101256,0.10004345421505886,131.61470905588337
