"district_id","district_name","elevation_std","rainfall_std","travel_time_std","poverty_std","literacy_rate_std","pop_density_std","observed","y_i","psi_i"
48,"Assin South",-0.398153942970044,1.0897284940752,0.320284347419186,-0.0138161223556219,0.229785194397216,-0.522662327907382,1,-1.76229239525116,0.23359758225715
49,"Asunafo North",0.667372931501537,0.299323230271552,0.25609993128984,-0.102878729276159,0.199159973679802,-0.455096269421887,1,-1.95610724143546,0.323542840855325
50,"Asunafo South",0.477905768905112,0.774606091572381,0.00584336044092107,-0.110300613186204,0.0293607298536257,-0.502965431591865,1,-1.55024580738135,0.456047430685832
51,"Asuogyaman",-0.524962864364304,-0.0277620406783725,-0.0150889092056944,-0.429441621318129,0.719119825657025,-0.323405672647075,0,NA,NA
52,"Asutifi North",0.941209561466428,-0.0326910911974428,-0.0529523197754694,-0.325535246577502,0.251374610715304,-0.64986459188084,1,-3.31058363543384,0.935306533658175
53,"Asutifi South",0.34684470496901,0.276911816351779,-0.387239059065655,-0.0731911936359798,-0.00327169630677693,-0.423199467825551,1,-1.73777079236633,0.420480249190978
54,"Atebubu-Amantin",-0.371926553953103,-0.116743658656898,1.47117091379102,0.0900902523850056,-0.83236955614781,-0.87140500873278,1,-1.47591403723508,0.199131559949861
55,"Atiwa East",0.748212361748788,1.22117852003256,-0.128228991732648,-0.681785674259652,0.59602398288786,-0.430501349991516,0,NA,NA
56,"Atiwa West",1.83523302391126,1.52919351279051,0.0680051820525045,-0.644676254709428,0.573806305349286,-0.470863830702835,0,NA,NA
57,"Atwima-Kwanwoma",0.734910939583098,0.569335225095186,-0.566661423706769,-1.02319233412171,1.01014886644947,0.903512501541691,1,-1.71807771015048,0.653038443799721
58,"Atwima-Mponua",0.865075091634769,0.688756150115218,0.441581796345093,-0.184519452286652,-0.00984676840618663,-0.619794533161053,0,NA,NA
59,"Atwima-Nwabiagya North",0.842892447660243,0.481400898221481,-0.276737446826579,-1.04545798585185,0.872297665066325,0.747406890800575,1,-2.19722457733622,0.1
60,"Atwima-Nwabiagya South",0.570788739023906,0.565080402113524,-0.325776561663058,-1.11967682495229,0.998469465767158,0.434108911724877,0,NA,NA
61,"Awutu Senya East",-1.36101107206709,-1.05526754157596,-0.841888019959161,-1.26069261924315,1.22559355872211,1.43849926978886,0,NA,NA
62,"Awutu Senya West",-0.760618931494035,-0.284527813715429,-0.952326197217992,-0.377488433947816,0.245773506687588,0.686063229298195,1,-0.133669959754023,0.605979539821889
63,"Ayawaso Central",-1.52328297007409,-1.53279301613408,-0.869876754224223,-1.14194247668243,1.32079329365266,3.52618659448624,0,NA,NA
64,"Ayawaso East",-1.32661995782862,-1.55352339002671,-0.905348745781288,-0.904442191560995,0.71005419676704,2.29418554844421,0,NA,NA
65,"Ayawaso North",-1.54938345157353,-1.5046611410342,-0.898572615883218,-1.01577045021167,1.00567416390912,2.54908963140536,1,-2.20886510836943,0.960660768137857
66,"Ayawaso West",-1.18862930724348,-1.48952215705508,-0.939284867719457,-1.35717711007373,1.55601207289767,1.47178187003784,0,NA,NA
67,"Ayensuano",-0.00900989976369124,0.598213222692385,-0.644763261462185,0.11235590411514,0.1337496051274,-0.0973643303581146,1,-1.49923784173279,1.098419270183
68,"Banda",0.513306711444368,-0.760484334567632,1.75021836611707,0.602200242178096,-0.782221191904889,-1.81579473275887,0,NA,NA
69,"Bawku",0.517530048777956,-1.49099430542706,-1.10591335233387,-0.295847710937323,-0.822040131500469,0.490196085220428,1,-2.55653255183873,0.561490751424094
70,"Bawku West",0.376052856936062,-1.27213698983332,-0.228257833824223,1.48540442747342,-1.49706914865473,-0.312048124092742,1,-2.13823268331781,0.228326954824953
71,"Bekwai",0.648954222939247,0.525829150615849,-0.777698030767217,-0.607566835159204,0.743798946470481,0.0955463781499264,0,NA,NA
72,"Berekum East",1.29269367540166,-0.459468064744049,-0.377502665478624,-1.11225494104225,0.958816153852944,0.0246888437783575,0,NA,NA
73,"Berekum West",1.55362046943192,-0.399964512532037,-0.398044026838726,-0.948973495021264,0.442351392073343,-0.367272217923213,0,NA,NA
74,"Bia East",0.565290730074785,0.210091961290511,1.30496043648301,0.735794152558901,-0.477765180882206,-0.742578869352763,0,NA,NA
75,"Bia West",0.290697922242932,0.536339966444096,1.51739277233333,0.42407502833702,-0.499453635611657,-0.564000840776543,1,-3.15827677910082,0.946575593310655
76,"Biakoye",0.107088586797017,0.847569284593288,-0.127161266932274,0.490871983527424,-0.133493164907447,-0.769379327619886,1,-2.79926259635083,1.02600537569973
77,"Bibiani-Anhwiaso-Bekwai-",0.231240186579559,1.05012116439026,0.532316219401375,-0.644676254709428,0.359569951319883,-0.0588790699878772,1,-2.81886436346632,0.715035065746892
78,"Binduri",0.344246639785701,-1.42008464613069,-0.830258291275581,1.9455612298962,-1.50522499574983,-0.0772740196882767,1,-1.12189714081189,0.4842304553559
79,"Birim Central",-0.426441809683682,1.37861319892579,-1.2146181090384,-1.16420812841256,1.0607362201774,0.737831651433551,0,NA,NA
80,"Birim North",0.158579624863318,1.07733765248091,-0.0465367341333151,-0.689207558169697,0.518998517667121,-0.261406122368069,0,NA,NA
81,"Birim South",-0.324437300490565,1.40936386209289,-0.94342242092396,-0.199363220106741,0.594248679715315,-0.414387101910844,0,NA,NA
82,"Bodi",0.0643681585398565,1.40535019858304,0.554199641992053,-0.132566264916338,-0.306965137787821,-0.502888066718807,0,NA,NA
83,"Bole",0.41749334633961,-0.854730137360756,1.2108823795057,0.713528500828767,-1.34240490854981,-1.54849751615662,1,-1.6690053207872,0.397764758208843
84,"Bolga East",0.358511637317781,-1.11399015615971,-1.30858993233017,-0.199363220106741,-0.16635176639248,0.560520082734648,0,NA,NA
85,"Bolgatanga",0.0816771258790161,-1.1477867312432,-1.09717859443071,-0.548191763878846,0.0656916823946275,0.428647240430659,1,-2.74300379940947,0.601598402751675
86,"Bongo",0.612818665288923,-1.26084778282158,-0.879739752296475,1.96040499771629,-0.991150721588437,0.149242647329961,1,-1.83931265005525,1.10203346877879
87,"Bosome Freho",0.899146385761026,0.829786322455103,-0.267030355422892,0.275637350136125,0.0472613647715749,-0.442060045258546,1,-1.25276296849537,0.1
88,"Bosomtwe",0.542850814440255,0.426359360021404,-0.471038207394768,-0.852489004190682,0.992983450954154,0.357055822505562,1,-2.40149177471639,0.901800298397934
89,"Builsa North",0.146254946159219,-1.14754104295501,-0.184526660866066,0.899075598579887,-0.648788916074523,-0.728934557438559,0,NA,NA
90,"Builsa South",0.0636579044049106,-1.09365152473836,0.357059860826852,2.04204572072678,-1.40472158138051,-1.26570843155361,0,NA,NA
91,"Bunkpurugu Nakpanduri",1.20178410895004,-0.833710766199549,-0.185962998686528,0.795169223839259,-0.607345736915263,-0.455446749319789,1,-2.76331472113125,0.361249269959936
92,"Cape Coast",-1.38211561939727,0.42181016397555,-0.376744949237613,-1.08998928931212,1.21215424826224,1.2222801533152,0,NA,NA
93,"Central Gonja",-0.393878756261598,-0.684018102517611,0.826177623562782,2.53931194269978,-2.14994076299556,-1.54456137535862,1,-2.75834647525825,0.344489167810755
94,"Central Tongu",-1.42852294973639,-0.702623046276568,0.0924876870722412,0.624465893908229,-0.337646359278516,-0.373033650803794,0,NA,NA
95,"Chereponi",-0.134449010054586,-0.650625441099396,0.471111177776339,1.9455612298962,-2.07384408278962,-0.78432439204803,1,-1.6137087570832,0.268528544561978
96,"Daffiama-Bussie-Issa",1.22622113082311,-1.27617641098628,2.36366063603274,0.824856759479439,-1.73137349660508,-1.32924567841518,1,0.693147180559945,0.1
97,"Denkyembour",-0.0971931767049716,1.65014178113206,-0.643727599157844,-0.704051325989786,0.638298066897001,-0.14198909206291,0,NA,NA
98,"Dormaa",1.09244052602546,-0.21910962659674,0.648936998094583,-0.874754655920816,0.474902844055337,-0.542904669342522,1,-2.52095865604886,0.887511612872305
99,"Dormaa East",1.21416705647541,-0.263731488934383,-0.373784897883315,-0.600144951249159,0.32864753828514,-0.38856890394956,0,NA,NA
100,"Dormaa West",0.617970682536617,0.0127368997298375,0.653987590362676,-0.325535246577502,-0.0722417869829333,-0.354262319622582,0,NA,NA
101,"East Gonja",-0.544763482217424,-0.408716450171273,2.50204125858688,0.832278643389484,-1.55621214005834,-0.906121421256166,1,-0.60396652492358,0.461892797746074
102,"East Mamprusi",0.941191126133145,-0.876224465965164,-0.0374858630022473,2.0123581850866,-1.70578771637083,-0.437904152500301,1,-2.08651544104983,0.322303974306326
103,"Effia Kwesimintsim",-1.50907169425541,1.62528367416721,0.322040566712031,-1.35717711007373,1.31914324237307,1.26421153798462,0,NA,NA
104,"Effutu",-1.62567155604092,-0.859222723201957,-1.04004071708715,-0.436863505228174,0.746195042419468,1.10005680348616,0,NA,NA
105,"Ejisu",0.791220019082537,0.468561135385553,-0.412501256990001,-1.04545798585185,0.933294801874814,0.430307144705624,1,-1.35046799209672,0.681314448599982
106,"Ejura-Sekyedumase",0.521606891052425,-0.059895125043075,0.596484603567969,-0.191941336196696,-0.47823781347452,-0.481878271600152,1,-2.07944154167984,0.1
107,"Ekumfi",-1.54224319597641,-0.0987755797002776,-0.7368790276706,0.290481117956214,-0.193961572610304,-0.0480096818201966,1,-1.86817034509641,0.75912475328793
108,"Ellembelle",-1.18910150690735,2.51482699276604,2.40197345313187,0.42407502833702,0.195919064894354,-0.376802109916409,0,NA,NA
109,"Fanteakwa North",2.28997409826982,0.984799781446136,0.132159021294758,0.0975121362950499,0.0688452193058917,-0.739820572847634,0,NA,NA
110,"Fanteakwa South",1.91027569435289,1.10155493192909,-0.703922670963525,-0.436863505228174,0.753037980116403,-0.0376911946590834,0,NA,NA
111,"Ga Central",-1.33075050124133,-1.19523230986428,-0.741025764366625,-1.43139594917417,1.4399957849315,2.14823977710551,0,NA,NA
112,"Ga East",-0.902922832812816,-1.13144676177238,-0.901533410408833,-1.29780203879337,1.46424021386224,1.69746596548907,0,NA,NA
113,"Ga North",-0.644441847865092,-0.86827299661971,-0.796290849992176,-1.26811450315319,1.37761241560426,1.34476327072869,0,NA,NA
114,"Ga South",-1.21299830767477,-0.627761145542404,-0.682578419163091,-0.874754655920816,0.971335888650316,1.37045315571521,0,NA,NA
115,"Ga West",-1.35282450843044,-0.810524360751917,-0.630281294357995,-1.26811450315319,1.15716967784649,1.3145147851518,0,NA,NA
116,"Garu",0.442807857156688,-1.2013179068644,-0.522621940819526,1.27016979408213,-1.43578820075815,-0.460204786959217,1,-1.16898230806583,0.535469451181069
117,"Gomoa Central",-1.54812867612684,-0.152993436089455,-0.987217559699015,-0.652098138619473,0.526879769987141,0.70430194313504,0,NA,NA
118,"Gomoa East",-1.2793539442581,-0.603752757749391,-1.03634511192218,-0.978661030661443,0.985431281002923,0.595796333367856,1,-2.70982955726408,0.596999351922281
119,"Gomoa West",-1.21279012831969,0.335303546318252,-0.934792715594782,0.0529808328347816,-0.060532703317841,0.346116972405395,1,-2.56674207130475,0.545487068033915
120,"Gushegu",0.181460013282348,-0.567560155609076,-0.525365941655335,1.77485789996517,-2.49961895075969,-0.845091166257058,1,-2.10352567969994,0.18567010021936
121,"Ho Municipal",0.0505949893635622,0.273971482322141,-0.980489842059965,-1.11967682495229,1.22691033483435,0.219850663885039,0,NA,NA
122,"Ho West",0.0401064369341603,0.252705292842482,-0.314423664294938,0.0232932971946021,0.70289413065754,-0.615917723234766,0,NA,NA
123,"Hohoe",1.19510887228989,1.19852028706972,-0.919398134104616,-0.652098138619473,0.870130843148573,-0.175330878255584,1,-3.5735230164687,0.736438726151475
124,"Jaman North",1.4895329960968,-0.644290193096764,0.710843593442556,-0.971239146751399,0.185118683809874,-0.421586269805927,1,-2.39859971771454,0.85551450293035
125,"Jaman South",1.31154940012346,-0.523605728308894,0.0860258124737918,-0.889598423740906,0.199302587159507,-0.263598477328592,1,-1.25458601164827,0.895698263293927
126,"Jasikan",1.04889264758606,1.34448290654096,-0.712510015527652,0.193996627125632,0.341759939212909,-0.453572453749475,0,NA,NA
127,"Jirapa",1.29267359405648,-1.46143896673119,2.23844009124117,1.67095152522454,-1.25178609794427,-0.663911984273047,1,-3.29683661905787,0.70541207852289
128,"Jomoro",-1.22238625424709,2.99740068072989,2.16848219018305,0.26821546622608,0.0405862393300349,-0.603018327981741,1,-1.10365041201362,0.489946655890613
129,"Juaben",1.16603602250103,0.36918871434311,-0.130101889665008,-0.496238576508533,0.474968934702616,0.328332216004437,0,NA,NA
130,"Juaboso",0.451828331572282,1.00182303449297,1.03091304077551,-0.22905075574692,-0.240926725848423,-0.770177513807141,1,-2.44577348258537,0.770247929358106
131,"Kadjebi",0.838989424242438,1.00135203990901,-0.540332456467099,-0.0286598901757111,0.0319047436199461,-0.454718946852872,1,-2.05156570903886,0.459393484493353
132,"Karaga",-0.188958010939944,-0.745481500014684,-0.202791794650538,1.70063906086472,-2.5135218985392,-1.12922744087529,0,NA,NA
133,"Kasena Nankana East",0.0128840337235359,-1.18379506734128,-0.569953566472289,0.461184447887244,-0.180962773073932,-0.332853377571543,0,NA,NA
134,"Kasena Nankana West",0.740233483663654,-1.20894981160459,-0.166918065843977,1.93071746207611,-0.754279498229073,-0.474290046304459,0,NA,NA
135,"Keta Municipal",-1.78919533611432,-1.30925856543198,0.781417689689526,-0.177097568376607,0.32418184958492,-0.232883524508309,0,NA,NA
136,"Ketu North",-1.47061838724838,-0.994671129363132,0.556520672181345,-0.0286598901757111,-0.116727521329827,0.128478591982172,1,-1.51150356188281,0.603693480191264
137,"Ketu South",-1.6908923291445,-1.17035155881758,0.220843034688346,-0.147410032736428,-0.0416247572397073,0.887698660870008,0,NA,NA
138,"Kintampo North",-0.362211133313236,-0.614645124907774,0.603333033418418,0.038137065014692,-0.780960455230943,-1.28237376852435,0,NA,NA
139,"Kintampo South",1.23787917470762,-0.303967757993007,-0.50102400218178,-0.117722497096249,-0.764897708646646,-0.836245217164719,1,-2.29565473398874,0.395739368879298
140,"Komenda-Edina-Eguafo-Abirem-",-1.41005342053003,0.848723002013322,-0.0799123456303233,-0.184519452286652,0.227020022530917,0.317094715783236,0,NA,NA
141,"Korle-Klottey",-1.52940166953564,-1.58856737111463,-0.860024266603856,-1.26069261924315,1.30334222595958,2.16381600427901,0,NA,NA
142,"Kpandai",-0.268030118209928,0.143504208068318,0.685960519083134,1.55962326657387,-1.55535412169748,-0.430779361710671,1,-2.72535804912939,0.1
143,"Kpando",-0.624655303413718,0.282583590582055,-0.464509022708494,-0.310691478757413,0.712243601291278,-0.107538571217384,1,-0.916220746067332,0.282763529802074
144,"Kpone-Katamanso",-1.23827187394583,-1.15429124375774,-0.774935397538327,-1.26811450315319,1.28769268429253,1.28735430197402,0,NA,NA
145,"Krachi East",-0.501056187525486,0.485029610020935,1.21072525185589,1.01040385723056,-1.03755693286516,-1.07332666968822,1,-1.59581774320691,0.613264776403985
146,"Krachi Nchumuru",-0.528103125867546,0.183031153146636,1.33582158126162,1.45571689183325,-1.29612703638388,-0.750977542229572,1,-1.98870812006181,0.400887854846748
147,"Krachi West",-0.703929540945049,0.269652123707176,2.1301443176373,0.728372268648857,-0.761241447633214,-0.760900960976934,0,NA,NA
148,"Krowor",-1.5343744772377,-1.55161534286152,-0.798877139197382,-1.12709870886234,1.4398040435043,2.23576434160599,0,NA,NA
149,"Kumasi",1.04491522443037,0.821361591798757,-0.788033685827312,-1.38686464571391,1.20773518790793,2.84352122515428,0,NA,NA
150,"Kumbungu",-0.435498331759891,-0.888789666989774,0.378846883481025,1.29243544581226,-1.68013301637023,-0.707010703837971,1,-1.84190574138231,0.373553376348119
151,"Kwabre East",1.49285201432385,0.508283383785935,-0.460412025407021,-1.26069261924315,1.05118915456555,1.49966250618266,0,NA,NA
152,"Kwadaso",0.838692483695638,0.7066506378347,-0.763031969501235,-1.34233334225364,1.35527453412184,1.49922459408816,0,NA,NA
153,"Kwaebibirem",0.136040783913584,1.52340511936482,-0.118786681663772,-0.592723067339115,0.594972994789633,-0.238254684987391,0,NA,NA
154,"Kwahu Afram Plains North",-0.759365658033207,0.228104762308806,1.83967644569459,1.55220138266383,-0.870252120206421,-1.28816187213768,0,NA,NA
155,"Kwahu Afram Plains South",-0.537025580274483,0.340661700014755,1.75200537463167,0.854544295119618,-0.766884110276883,-1.3967909285731,1,-1.94591014905531,0.1
156,"Kwahu East",1.09058481220916,0.562047792435848,-0.0127009934239568,0.134621555845274,0.374175711707579,-0.340167524275647,0,NA,NA
157,"Kwahu South",1.842132776898,0.837412849225852,0.144236935365955,0.0900902523850056,0.37131583724023,-0.496644962492611,0,NA,NA
158,"Kwahu West",0.869696763848211,1.03269880780649,-0.43928929174262,-0.92670784329113,0.824611547638662,0.310037348174551,0,NA,NA
159,"La-Dade-Kotopon",-1.4516089661654,-1.64185710421299,-0.876684999682967,-1.38686464571391,1.54155333181676,1.79963100281959,0,NA,NA
160,"La-Nkwantanang-Madina",-0.939338459387963,-1.11809807551538,-0.990410966846748,-1.20873943187283,1.40030605866045,1.65959596328422,1,-1.79477308296422,0.841713649212128
161,"Lambussie-Karni",1.42070994652473,-1.45835795612561,2.00382727660816,1.2330603745319,-1.37732046092822,-0.788554470463022,1,-1.18327083913332,0.228193072133982
162,"Lawra",1.04909741146645,-1.50258128211528,1.96636443520413,0.884231830759797,-1.05041441313419,-0.43367641719433,1,-0.504309485741254,0.499624600505106
163,"Ledzokuku",-1.50248964244395,-1.58542720306257,-0.825361853972033,-1.20873943187283,1.35251334881349,2.20563674923138,0,NA,NA
164,"Lower Manya-Krobo",-0.208710976748553,-0.0744179069445598,-0.485824450078574,-0.577879299519025,0.653662261924105,0.372101963301706,0,NA,NA
165,"Mampong",1.3252392810976,0.0480469487796235,0.548455777052838,-0.377488433947816,0.566681335435253,-0.151025397163092,0,NA,NA
166,"Mamprugu Moagduri",-0.136220283460415,-1.04363103095866,1.08666915030672,1.25532602626204,-2.2662487006751,-1.20593175727059,1,-2.29330102197875,0.103282596895648
167,"Mfantseman",-1.33224915392619,0.0407991455822972,-0.5128615534157,-0.266160175297144,0.399508185088869,0.584452329717311,0,NA,NA
168,"Mion",0.146946271258443,-0.302440980773536,-0.581887836144707,1.91587369425602,-2.33720627998407,-1.15800227166929,1,-2.39789527279837,0.1
169,"Mpohor",-1.14262994098048,1.90325676395508,0.807346936928158,0.28305923404617,0.223637668489926,-0.5038687042678,0,NA,NA
170,"Nabdam",0.638262223438978,-1.19126365146714,-0.772622754568179,3.04400004858283,-1.05106825919852,-0.0136891978715341,1,-1.6094379124341,0.1
171,"Nadowli-Kaleo",1.25913675965712,-1.35148072046981,2.03957594028663,0.96587255377029,-0.968998429429911,-0.73961763148416,0,NA,NA
172,"Nandom",1.05824331198884,-1.45876328545178,1.6246969430661,0.312746769686349,-0.905057940240294,-0.34874400944741,1,-2.19722457733622,0.1
