ADM2_NAME,n_obs,direct_prev,direct_se,direct_low,direct_upp,direct_cv,iid_prev,iid_se,iid_cv,spatial_prev,spatial_se,spatial_cv,itn_coverage,pfpr_map,accessibility
BIBIANI-ANHWIASO-BEKWAI,34,0.06914868952649272,0.07284690516377358,-0.07392513679518842,0.21222251584817386,1.0534820784400256,0.1949459231359788,0.08842158123582838,0.4535697890647988,0.19165336192950103,0.074595033709926,0.3892184982247559,0.584245731334629,0.30570387840270996,19.404909133911133
BINDURI,27,0.44977654447221943,0.17682758721353273,0.10248108360132746,0.7970720053431114,0.3931454171782729,0.3398573011153047,0.10500696107842092,0.30897368022938193,0.3515531640854877,0.09959106580795911,0.2832887767260755,0.47834210904452223,0.13727429509162903,17.48639678955078
BOLE,84,0.31543464515347425,0.03206643931246797,0.2524550558540747,0.3784142344528738,0.10165794976917039,0.31257733847901326,0.03105935404482241,0.09936534169737249,0.3069407357347702,0.03136946499556671,0.1022003968305898,0.6739090963763165,0.20377373695373535,55.24443817138672
BOLGATANGA MUNICIPAL,51,0.21497821704399944,0.02304970098225242,0.16970781183340924,0.26024862225458967,0.1072187745306998,0.21704701778807803,0.023116076941452887,0.10650262407209453,0.22146095825311188,0.022618923148040964,0.10213503692235167,0.582800868752747,0.12252412736415863,18.866954803466797
BONGO,28,0.5051637848138877,0.19378184922349417,0.12456957044383132,0.885757999183944,0.38360202185690573,0.3509002619754863,0.10878147602546212,0.3100068247685194,0.3678211854233616,0.1064092075797793,0.28929602697382006,0.9165586061389258,0.12757623195648193,10.877058982849121
BOSOME FREHO,9,0.3333333333333333,1.3877787807814455e-17,0.3333333333333333,0.3333333333333333,4.163336342344337e-17,0.3316793197055054,0.0223165224243349,0.06728343040545762,0.3317019789761951,0.02186067118140189,0.06590455459106787,0.7777777777777777,0.19660213589668274,29.28588104248047
BOSOMTWE,9,0.27174817029507675,0.24506258106119277,-0.2095631645085902,0.7530595050987436,0.901800298397934,0.2632022250134148,0.1112707627946175,0.4227576829525142,0.2825056785781047,0.11777014959439112,0.41687710557588337,0.3086992681180307,0.16574326157569885,9.826325416564941
BUILSA NORTH,8,0.15024853560781298,0.11921763105610868,-0.08389899065780906,0.384396061873435,0.7934695042040018,0.2209828890783031,0.08962485574284502,0.40557373521841933,0.24992853343512983,0.10641708573932011,0.42579006196961977,0.7560088187855745,0.13003955781459808,23.424253463745117
BUNKPURUGU -NAKPANDURI,67,0.32729550086541515,0.06562774369703457,0.19840035586943064,0.4561906458613997,0.20051526380138324,0.3159484772358038,0.059010999015999877,0.18677412068030896,0.32090770391044127,0.05285976829505234,0.16471953664847014,0.5999735108355053,0.14703033864498138,24.970577239990234
CENTRAL GONJA,60,0.16879209125696598,0.045126913271553826,0.0801612820642834,0.25742290044964855,0.2673520597766245,0.18530911281024384,0.043318523892449196,0.23376359227841795,0.19322636923783107,0.03867436752612553,0.20015056784782573,0.5947081825834328,0.11867185682058334,62.06158447265625
CHEREPONI,38,0.2506066127041803,0.024418258857358606,0.20264831277391865,0.2985649126344419,0.09743661028682542,0.2513007537766414,0.023853367688186702,0.09491960262637258,0.2528355488809597,0.023758366423896872,0.09396766605428104,0.9183689334418635,0.20809540152549744,29.455078125
DAFFIAMA-BUSSIE-ISSA,7,0.6666666666666666,5.551115123125784e-17,0.6666666666666665,0.6666666666666667,8.326672684688677e-17,0.6566490575805655,0.022163334223632335,0.03375217548517242,0.6459788727413271,0.02251678331420515,0.034856841708539386,0.7142857142857142,0.12570138275623322,25.241527557373047
EAST GONJA,22,0.533262325691243,0.0760104834605655,0.38397512282634894,0.682549528556137,0.14253863398663438,0.4775980128508196,0.06713933159553526,0.1405770748391003,0.4364228505555086,0.06470696706534568,0.1482666798564334,0.7476405261134342,0.1422283947467804,52.696617126464844
EAST MAMPRUSI,100,0.2768499382554115,0.09370138881180601,0.09281718904223699,0.46088268746858596,0.3384555163792761,0.27054785165147355,0.07471253415299531,0.2761527533740754,0.3117353166146036,0.06029224491784503,0.19340845167178783,0.44925780351918054,0.11597823351621628,25.880355834960938
EJURA-SEKYEDUMASE,11,0.22222222222222224,2.0816681711721682e-17,0.2222222222222222,0.22222222222222227,9.367506770274756e-17,0.22304011634147797,0.01725030013346829,0.07734169268033293,0.22379787483426045,0.0171695764516334,0.0767191219503259,0.0909090909090909,0.19407033920288086,25.378416061401367
EKUMFI,8,0.30881182612235974,0.23442670131753163,-0.15161027518811,0.7692339274328295,0.7591247532879305,0.2712522819427397,0.10885420502666747,0.4013024489491527,0.24566440390903563,0.13383431564449874,0.5447851357987329,0.7265803735862245,0.19328100979328156,7.7908935546875
ELLEMBELLE,8,0.3333333333333333,5.551115123125782e-17,0.3333333333333332,0.3333333333333334,1.6653345369377348e-16,0.33119784135035246,0.021748428337723193,0.0656659724865687,0.3331536809753761,0.02182153117897709,0.06549989516877032,0.14113742442724164,0.3045074939727783,38.847938537597656
FANTEAKWA SOUTH,8,0.10984116019600508,0.12420703814182586,-0.13410573312886526,0.3537880535208754,1.1307877476911725,0.22341870028923214,0.10175792141648861,0.45545838949360734,0.15093992469061346,0.06700713684860955,0.443932491591978,0.2699912782859054,0.18808384239673615,37.17609786987305
GA WEST,22,0.021879887415582455,0.023658962508256817,-0.024587128379356702,0.06834690321052161,1.0813109802113212,0.14962875568866862,0.06960608073122547,0.4651918704453728,0.23729583969241605,0.13088409339863058,0.5515650572225924,0.37980840682473554,0.13604947924613953,4.900868892669678
GARU,14,0.3708636535221259,0.13545896753222827,0.10481758401719699,0.6369097230270548,0.36525274516864115,0.3181855731437576,0.09062850891182749,0.28482909522387784,0.3376991906373998,0.07381718749937656,0.21858858281551768,0.7827757451749346,0.15477313101291656,30.57912254333496
GOMOA EAST,51,0.09443640738435312,0.03353707206462124,0.028568444797282447,0.16030436997142378,0.35512863093283975,0.1269359514457211,0.03735451084201196,0.294278416922609,0.14751820538521762,0.04265801645411958,0.28917119987140394,0.4378906904032005,0.16373369097709656,9.403010368347168
GUSHIEGU,41,0.2699394170238024,0.0556735369994212,0.1605946762216901,0.37928415782591474,0.20624456262536894,0.268678430200962,0.04937558427732062,0.1837720439277147,0.2921303300415152,0.04810614374651816,0.16467356792319957,0.13936080276952867,0.16061951220035553,37.568721771240234
HO,28,0.08397110723631723,0.04671813863104833,-0.007784923270999694,0.17572713774363416,0.5563596833321603,0.1478759538247888,0.05644033451262234,0.38167351116122517,0.09469698276758595,0.05166646101563845,0.5455977530186261,0.3474174591766781,0.27750179171562195,15.767969131469727
HOHOE,39,0.06344393623392412,0.0444303306460356,-0.023818760732740973,0.15070663320058922,0.700308544574166,0.15081807331552238,0.06389759524538761,0.4236733293344041,0.16293518055609726,0.07039070505235648,0.43201661428865895,0.6847522199595978,0.3271395266056061,22.135284423828125
JAMAN NORTH,27,0.13000928033790154,0.09920028656416553,-0.06482349312081928,0.32484205379662234,0.7630246572116877,0.2068005577051999,0.08244684435418165,0.39867805613808827,0.16544685912155052,0.07707669762768353,0.4658698148573302,0.6676755414318292,0.219868466258049,13.265942573547363
JAMAN SOUTH,19,0.34903778735536295,0.22324714437767554,-0.08942727975618875,0.7875028544669147,0.6396073791012856,0.2856063092640834,0.10490162841234156,0.36729450649266004,0.22031283816179797,0.10752140221385732,0.48803965811058864,0.6271499669635865,0.21802197396755219,16.964963912963867
JIRAPA,23,0.14271948568117965,0.09708394055522546,-0.04795671145300223,0.3333956828153615,0.6802430662628703,0.21042429439594335,0.08343229171291643,0.39649552801126026,0.3837922318027598,0.09439387513112998,0.24595045784991632,0.9027112625605054,0.1410534679889679,18.606008529663086
JOMORO,7,0.29954611251074625,0.044183915776296656,0.21276738282034152,0.386324842201151,0.14750288496804162,0.2957785049192599,0.04100829082735195,0.13864527051601055,0.3040738252226092,0.04199006296883307,0.13809167210657675,0.7488652812768657,0.26228997111320496,52.75178527832031
JUABOSO,32,0.12758516878168974,0.04041672930241945,0.0482053228471996,0.2069650147161799,0.3167823477317829,0.1542999205899355,0.04238083892749459,0.2746653320718492,0.1447753763008081,0.03543265230613304,0.24474225667017147,0.5129525844622057,0.38376978039741516,31.142885208129883
KARAGA,10,0.5555555555555556,2.775557561562891e-17,0.5555555555555556,0.5555555555555556,4.996003610813204e-17,0.5483549909264194,0.024474390100921138,0.04463238322965354,0.5423406673916815,0.02471037498761835,0.04556246004279885,0.09999999999999999,0.1428164690732956,39.37440872192383
KASENA-NANKANA,19,0.23341989301521773,0.09079201462596644,0.055101254731447474,0.41173853129898796,0.3889643399847128,0.2456507359976055,0.07240285490293677,0.2947390106889096,0.27192296947900935,0.06443537393619463,0.23696186482388576,0.6927189556329219,0.13416685163974762,19.285398483276367
KASENA-NANKANA WEST,13,0.36883173933925056,0.1558005314186491,0.0628341389895431,0.674829339688958,0.4224162803823782,0.30903655642145705,0.0978871231020304,0.3167493329447218,0.31930896318128266,0.0963520774903824,0.3017518723258639,0.5413219296791476,0.1439921259880066,32.91608810424805
KETU NORTH,18,0.25859238053864003,0.14290010180642612,-0.022068332517575007,0.5392530935948551,0.5526075498000736,0.26282278457164765,0.09433106840326119,0.3589151091181205,0.36151871244164846,0.13005816062681036,0.359754989578313,0.8969292505734993,0.17795810103416443,8.784224510192871
KINTAMPO NORTH,12,0.1726151069569711,0.07556313668530458,0.024206508539106775,0.32102370537483543,0.43775506105697165,0.20531924900903945,0.06725491044293173,0.3275626165960248,0.23243410139817217,0.0647987377600092,0.27878326532218034,0.486797119800268,0.16133128106594086,62.672298431396484
KINTAMPO SOUTH,40,0.24537339946705655,0.08212462405265003,0.08407781426647387,0.40666898466763923,0.33469244926720737,0.24972251743910612,0.06707630512707007,0.26860335149162656,0.23640972591646614,0.059860798699616934,0.25320785118954187,0.6384783268112255,0.2256520688533783,29.76988983154297
KPANDAI,32,0.15951711348868536,0.03826544446690901,0.08436246493536483,0.2346717620420059,0.23988300458823936,0.17493486376953996,0.03715166654909616,0.21237428462539032,0.19192891208016888,0.03801734973186005,0.19808036902736242,0.7726948749186872,0.33072027564048767,30.55384635925293
KPANDO,7,0.3333527742887509,0.07854908968703626,0.17907966151418178,0.48762588706332,0.23563352623847336,0.31725374050644495,0.06723928700886055,0.21194166821019592,0.30952655125015777,0.06599481259679257,0.21321212131962117,0.4285928531193013,0.2891784608364105,19.452117919921875
KRACHI EAST,69,0.23902485542624877,0.13553179716712022,-0.027164253985594217,0.5052139648380918,0.5670196805492416,0.25183663119854177,0.09111211699864333,0.36179056464114145,0.31662741437243797,0.08616739552028849,0.27214129797027853,0.8464527270043926,0.32846155762672424,69.04624938964844
KRACHI NCHUMURU,26,0.33333333333333337,2.734990738115107e-17,0.3333333333333333,0.3333333333333334,8.204972214345321e-17,0.3317221983356565,0.022150749138995486,0.06677499802585422,0.33118386112680964,0.021549498430504965,0.06506808138894699,0.7772743903772008,0.31315356492996216,19.937545776367188
KRACHI WEST,11,0.14056393469475506,0.08701805354492365,-0.030342514271706783,0.31147038366121693,0.6190638710697005,0.20000927224299397,0.0768864142992479,0.38441424958457704,0.2778546729602259,0.09006962374652473,0.32416091040303624,0.6003955427459169,0.29402318596839905,32.990699768066406
KUMBUNGU,38,0.32307563520565774,0.11845814121617977,0.0904197730979951,0.5557314973133204,0.3666576129789973,0.29582345718586134,0.08674653192434392,0.2932375030349348,0.24289412029319676,0.06793508328305713,0.2796901102466082,0.31404489156686255,0.08857650309801102,53.636478424072266
LA-NKWANTANANG-MADINA,14,0.14248852594816502,0.10284524173838015,-0.05950306479144743,0.34448011668777745,0.7217791120654413,0.2124177883383759,0.08501120648641922,0.40020756807334146,0.14865602437572223,0.08693548237129795,0.5848096821933833,0.5684129387152973,0.11159741133451462,1.8537241220474243
LAMBUSSIE,19,0.5722283362164021,0.028977853368397373,0.5153148359011273,0.629141836531677,0.05064036772453486,0.5616315440015685,0.029011077525670857,0.05165500021414367,0.5626600012651068,0.027661693622801898,0.049162360147524724,0.793290018250526,0.1479833871126175,17.777475357055664
LAWRA,15,0.6584724481005914,0.11295385606173676,0.43662719128139355,0.8803177049197892,0.17153922899516882,0.498168353180552,0.09583136500236922,0.192367428381459,0.5566140024709972,0.09203729977832568,0.16535211002551334,0.8584002124209439,0.14928758144378662,14.614134788513184
MAMPRUGU-MOAGDURI,47,0.10028539464754854,0.03821185060676236,0.025236006278189033,0.17533478301690805,0.381031063806024,0.13791953547266017,0.04357433653957411,0.31594027916525186,0.1603726866443059,0.04338616750226314,0.27053339574269447,0.5826366599487448,0.12126249819993973,40.96196365356445
NABDAM,6,0.39999999999999997,5.551115123125784e-17,0.39999999999999986,0.4000000000000001,1.3877787807814462e-16,0.3960706538023592,0.02357177907786159,0.059514076217381154,0.3974399874813128,0.02348733556848718,0.05909655874672532,0.8333333333333333,0.13148942589759827,17.149383544921875
NADOWLI-KALEO,21,0.1253013153010047,0.08877888680520643,-0.04906347072860012,0.2996661013306095,0.708523183431376,0.2005860567456142,0.08225772428784317,0.41008695032159426,0.2922476264268275,0.08983374873561437,0.3073891474636383,0.6876240427461037,0.1310495138168335,12.678441047668457
NANDOM,10,0.33333333333333337,4.163336342344342e-17,0.3333333333333333,0.3333333333333334,1.2490009027033023e-16,0.3314991382866485,0.021820653577196755,0.06582416379715701,0.3378784146959669,0.021958995618584408,0.06499082114595503,0.7999999999999999,0.1588727831840515,10.053438186645508
NANUMBA NORTH,28,0.19311502524296975,0.028839834318339162,0.13647259908730008,0.24975745139863942,0.14934018874012528,0.19806801110170263,0.028840997976127474,0.1456115897549877,0.20657057050131722,0.029251780771372516,0.14160671919713747,0.6091825827153902,0.24705936014652252,38.59749221801758
NANUMBA SOUTH,49,0.33063064968659317,0.07022077140030303,0.19271464036657565,0.4685466590066107,0.2123843372260428,0.31638865378561887,0.06069808997839715,0.1918466078101696,0.3104049674271103,0.05336371904142779,0.1719164467107271,0.7419305956240159,0.29631420969963074,23.54595184326172
