time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,rainfall_sep_dec,nightlights,temp_sep_dec,elev_std,rainfall_std,ntl_std,temp_std,travel_std,country,poverty_H,mpi_index,literacy_rate,census_pop,census_pop_density,avg_hh_size,households,pop_dens_std,poverty_std
1,2014,DHS 2014,22,Asokore-Mampong,GHA2.16_2,Ashanti,asokore mampong,24.027505732504668,270.5222473144531,271.6413879394531,54.98640823364258,55.35892105102539,318.9343566894531,11.669371604919434,8.66187572479248,1.059005750734214,-0.11673095942647013,1.8054366557995984,-0.9712296856534224,-0.6863968618010975,GHA,0.113,0,0.7759075508228461,191402,7965.953775263044,NA,NA,2.261966739705164,-1.2099056062220976
2,2022,DHS 2022,22,Asokore-Mampong,GHA2.16_2,Ashanti,asokore mampong,24.027505732504668,270.5222473144531,271.6413879394531,54.98640823364258,55.35892105102539,544.8956298828125,24.963050842285156,8.710624694824219,1.059005750734214,0.5668675013597001,2.4935255769013653,-0.6542525289325172,-0.6863968618010975,GHA,0.113,0,0.7759075508228461,191402,7965.953775263044,NA,NA,2.261966739705164,-1.2099056062220976
1,2014,DHS 2014,23,Asokwa,GHA2.17_2,Ashanti,asokwa,26.826532774033833,245.83486938476565,245.0314788818359,54.07610321044922,54.50312042236328,329.25201416015625,11.20913028717041,8.661874771118164,0.796710216059095,-0.08551704977631479,1.7699494791143242,-0.9712358866659372,-0.6990631025947924,GHA,0.063,0,0.8767222227301401,125642,4683.497530534862,NA,NA,1.9261842098914832,-1.581357828045432
2,2022,DHS 2022,23,Asokwa,GHA2.17_2,Ashanti,asokwa,26.826532774033833,245.83486938476565,245.0314788818359,54.07610321044922,54.50312042236328,612.43450927734375,23.699743270874023,8.710625648498535,0.796710216059095,0.7711922218962862,2.4456878520746552,-0.6542463279200024,-0.6990631025947924,GHA,0.063,0,0.8767222227301401,125642,4683.497530534862,NA,NA,1.9261842098914832,-1.581357828045432
1,2014,DHS 2014,24,Atwima-Kwanwoma,GHA2.18_2,Ashanti,atwima kwanwoma,252.68213379249005,238.08338928222656,237.3687744140625,55.051048278808594,65.03966522216797,338.5812072753906,1.4115580320358276,8.661874771118164,0.7143532065860855,-0.05729353180872982,0.21449412416227392,-0.9712358866659372,-0.6854974419845223,GHA,0.138,0.1,0.8404694196339167,234846,929.4127624902138,NA,NA,0.9041323395201541,-1.0241794953104302
2,2022,DHS 2022,24,Atwima-Kwanwoma,GHA2.18_2,Ashanti,atwima kwanwoma,252.68213379249005,238.08338928222656,237.3687744140625,55.051048278808594,65.03966522216797,630.93695068359375,5.435115814208984,8.710624694824219,0.7143532065860855,0.8271674794585654,1.1557753936928172,-0.6542525289325172,-0.6854974419845223,GHA,0.138,0.1,0.8404694196339167,234846,929.4127624902138,NA,NA,0.9041323395201541,-1.0241794953104302
1,2014,DHS 2014,25,Atwima-Mponua,GHA2.19_2,Ashanti,atwima mponua,1891.514638178744,246.31883239746097,249.43519592285156,132.78329467773438,137.4940185546875,361.89947509765625,0.01817307993769645,8.695610046386719,0.8018521690659896,0.013250998969604116,-0.6124388784351619,-0.7518812699661055,0.3960909544737539,GHA,0.251,0.1,0.6522921999294944,155254,82.07919561726851,NA,NA,-0.6234163030794139,-0.1846974739896947
2,2022,DHS 2022,25,Atwima-Mponua,GHA2.19_2,Ashanti,atwima mponua,1891.514638178744,246.31883239746097,249.43519592285156,132.78329467773438,137.4940185546875,613.46124267578125,0.06836136430501938,8.748771667480469,0.8018521690659896,0.7742983885455113,-0.5662942570157927,-0.406212028339051,0.3960909544737539,GHA,0.251,0.1,0.6522921999294944,155254,82.07919561726851,NA,NA,-0.6234163030794139,-0.1846974739896947
1,2014,DHS 2014,26,Atwima-Nwabiagya North,GHA2.20_2,Ashanti,atwima nwabiagya north,213.8959290922914,251.88543701171875,247.3788299560547,78.44208526611328,85.874176025390625,356.3039855957031,0.4613550305366516,8.661874771118164,0.8609955717303086,-0.0036769814618353314,-0.2658907068385615,-0.9712358866659372,-0.36002795720008757,GHA,0.135,0.1,0.8150374913758464,155025,724.7683518703627,NA,NA,0.7470689174361206,-1.0464666286198303
2,2022,DHS 2022,26,Atwima-Nwabiagya North,GHA2.20_2,Ashanti,atwima nwabiagya north,213.8959290922914,251.88543701171875,247.3788299560547,78.44208526611328,85.874176025390625,551.2158203125,1.5239903926849363,8.710625648498535,0.8609955717303086,0.5859879125193272,0.25819514385968706,-0.6542463279200024,-0.36002795720008757,GHA,0.135,0.1,0.8150374913758464,155025,724.7683518703627,NA,NA,0.7470689174361206,-1.0464666286198303
1,2014,DHS 2014,27,Atwima-Nwabiagya South,GHA2.21_2,Ashanti,atwima nwabiagya south,367.95914318576774,232.42507934570313,222.1543884277344,69.05760192871094,82.350128173828125,375.4463195800781,1.2288943529129028,8.661874771118164,0.6542354640544572,0.054234136946388053,0.1389541454239765,-0.9712358866659372,-0.4906063047291085,GHA,0.125,0.1,0.8383147073262295,161893,439.9754782510371,NA,NA,0.4320272753467803,-1.1207570729844973
2,2022,DHS 2022,27,Atwima-Nwabiagya South,GHA2.21_2,Ashanti,atwima nwabiagya south,367.95914318576774,232.42507934570313,222.1543884277344,69.05760192871094,82.350128173828125,629.2281494140625,3.4366774559020996,8.710624694824219,0.6542354640544572,0.8219978594562855,0.7991479728258608,-0.6542525289325172,-0.4906063047291085,GHA,0.125,0.1,0.8383147073262295,161893,439.9754782510371,NA,NA,0.4320272753467803,-1.1207570729844973
1,2014,DHS 2014,28,Bekwai,GHA2.22_2,Ashanti,bekwai,537.7718105058365,229.24034118652344,229.40045166015625,48.18505859375,49.8741569519043,318.8096923828125,0.28170692920684814,8.718229293823242,0.6203986345360919,-0.11710810515117837,-0.39168751206114566,-0.6048056551392097,-0.7810327586335497,GHA,0.19399999999999998,0.1,0.7913309863922551,137967,256.5530533670519,NA,NA,0.09199565003220239,-0.608153006868296
2,2022,DHS 2022,28,Bekwai,GHA2.22_2,Ashanti,bekwai,537.7718105058365,229.24034118652344,229.40045166015625,48.18505859375,49.8741569519043,597.8260498046875,1.160916805267334,8.74328899383545,0.6203986345360919,0.7269973903269868,0.10925014853155463,-0.44186164928684696,-0.7810327586335497,GHA,0.19399999999999998,0.1,0.7913309863922551,137967,256.5530533670519,NA,NA,0.09199565003220239,-0.608153006868296
1,2014,DHS 2014,29,Bosome Freho,GHA2.23_2,Ashanti,bosome freho,571.4715660020668,262.8572692871094,252.59365844726565,86.730743408203125,86.571746826171875,350.1026916503906,0.02659208700060844,8.721636772155762,0.977567798284129,-0.022437696233833727,-0.6045415462107827,-0.5826494374236983,-0.24469723045528996,GHA,0.313,0.1,0.6628279800413591,62259,108.94505291935178,NA,NA,-0.4462524902497617,0.27590328107123996
2,2022,DHS 2022,29,Bosome Freho,GHA2.23_2,Ashanti,bosome freho,571.4715660020668,262.8572692871094,252.59365844726565,86.730743408203125,86.571746826171875,608.979736328125,0.15949136018753052,8.679119110107422,0.977567798284129,0.7607405306083251,-0.4877927871210398,-0.8591091783726609,-0.24469723045528996,GHA,0.313,0.1,0.6628279800413591,62259,108.94505291935178,NA,NA,-0.4462524902497617,0.27590328107123996
1,2014,DHS 2014,30,Bosomtwe,GHA2.24_2,Ashanti,bosomtwe,424.4651040057184,237.9442596435547,219.5644989013672,67.23124694824219,71.91133880615234,360.11602783203125,0.7079650163650513,8.6609649658203125,0.712874998447962,0.007855553155173367,-0.11634157790206497,-0.9771516526050914,-0.5160187229493554,GHA,0.161,0.1,0.837302601681436,165180,389.14859770845777,NA,NA,0.3545939648089283,-0.8533114732716965
