time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density,rainfall_sep_dec,temp_sep_dec,elev_std,rainfall_std,temp_std,travel_std,poverty_std,illiteracy_std,pop_dens_std
2,2022,DHS 2022,218,Wa Municipal,GHA13.9_2,Upper West,wa,582.14003198375,312.85980224609375,311.6645812988281,224.0468292236328,224.4287109375,0.165,0.1,0.6768541858189259,0.32314581418107413,25987,200672,0.1294998804018498,344.71431094709806,310.3161315917969,NA,1.5016117110025167,-0.14280359270653298,NA,1.6716535160804145,-0.8235952955258298,-0.12340794555167599,0.27813860516703015
1,2014,DHS 2014,219,Wa West,GHA13.11_2,Upper West,wa west,1497.6482483553154,272.0302429199219,271.5278015136719,242.1450653076172,242.93043518066406,0.619,0.3,0.3241538707416924,0.6758461292583076,12803,96957,0.13204822756479676,64.73950081835041,289.1882629394531,NA,1.0692567737382561,-0.20672152999871415,NA,1.923396461808699,2.5491908786300463,1.7902129839960172,-0.7714357837870508
2,2022,DHS 2022,219,Wa West,GHA13.11_2,Upper West,wa west,1497.6482483553154,272.0302429199219,271.5278015136719,242.1450653076172,242.93043518066406,0.619,0.3,0.3241538707416924,0.6758461292583076,12803,96957,0.13204822756479676,64.73950081835041,298.35333251953125,NA,1.0692567737382561,-0.17899453337934973,NA,1.923396461808699,2.5491908786300463,1.7902129839960172,-0.7714357837870508
1,2014,DHS 2014,220,Adaklu,GHA14.1_2,Volta,adaklu,804.1013891174575,74.0340347290039,68.67796325683594,63.959903717041016,74.64029693603516,0.332,0.1,0.6660829660044684,0.33391703399553163,4514,38649,0.11679474242541851,48.064834264767605,331.25714111328125,NA,-1.0273771254200181,-0.0794509585410075,NA,-0.5551244976773505,0.4170551253641071,-0.06496730687747712,-0.9564218647076006
2,2022,DHS 2022,220,Adaklu,GHA14.1_2,Volta,adaklu,804.1013891174575,74.0340347290039,68.67796325683594,63.959903717041016,74.64029693603516,0.332,0.1,0.6660829660044684,0.33391703399553163,4514,38649,0.11679474242541851,48.064834264767605,467.9532470703125,NA,-1.0273771254200181,0.33409445261326104,NA,-0.5551244976773505,0.4170551253641071,-0.06496730687747712,-0.9564218647076006
1,2014,DHS 2014,221,Afadzato South,GHA14.2_2,Volta,afadzato south,555.3404538367881,204.2074432373047,200.76638793945313,41.74580383300781,42.24943161010742,0.325,0.1,0.7769216164045442,0.22307838359545584,8147,73146,0.11137997976649441,131.71379735555382,410.63671875,NA,0.35106331816823727,0.1606953122046114,NA,-0.8641183087624864,0.36505181430884026,-0.6663366625072248,-0.3272433501017021
2,2022,DHS 2022,221,Afadzato South,GHA14.2_2,Volta,afadzato south,555.3404538367881,204.2074432373047,200.76638793945313,41.74580383300781,42.24943161010742,0.325,0.1,0.7769216164045442,0.22307838359545584,8147,73146,0.11137997976649441,131.71379735555382,486.0226135253906,NA,0.35106331816823727,0.3887595327020188,NA,-0.8641183087624864,0.36505181430884026,-0.6663366625072248,-0.3272433501017021
1,2014,DHS 2014,222,Agotime Ziope,GHA14.3_2,Volta,agortime ziope,316.89820533555564,76.64714050292969,74.98138427734375,83.43888092041016,79.08750915527344,0.257,0.1,0.6512657674716695,0.34873423252833047,4282,39553,0.10825980330189872,124.81295044924066,318.0519714355469,NA,-0.9997062614284404,-0.11940043102603294,NA,-0.2841757113870855,-0.1401232073708945,0.015425309793189108,-0.3610076729050113
2,2022,DHS 2022,222,Agotime Ziope,GHA14.3_2,Volta,agortime ziope,316.89820533555564,76.64714050292969,74.98138427734375,83.43888092041016,79.08750915527344,0.257,0.1,0.6512657674716695,0.34873423252833047,4282,39553,0.10825980330189872,124.81295044924066,462.0673522949219,NA,-0.9997062614284404,0.31628791190854777,NA,-0.2841757113870855,-0.1401232073708945,0.015425309793189108,-0.3610076729050113
1,2014,DHS 2014,223,Akatsi North,GHA14.4_2,Volta,akatsi north,315.3353167929643,61.581748962402344,62.4668083190918,164.3894805908203,162.42237854003906,0.39299999999999996,0.2,0.5869959140166993,0.41300408598330074,3717,32755,0.11347885818958937,103.87355381923659,309.13134765625,NA,-1.159237652946325,-0.14638790812155086,NA,0.8418313936663094,0.8702268359885746,0.36412966715522493,-0.47611340560606874
2,2022,DHS 2022,223,Akatsi North,GHA14.4_2,Volta,akatsi north,315.3353167929643,61.581748962402344,62.4668083190918,164.3894805908203,162.42237854003906,0.39299999999999996,0.2,0.5869959140166993,0.41300408598330074,3717,32755,0.11347885818958937,103.87355381923659,407.61370849609375,NA,-1.159237652946325,0.1515498284351747,NA,0.8418313936663094,0.8702268359885746,0.36412966715522493,-0.47611340560606874
1,2014,DHS 2014,224,Akatsi South,GHA14.5_2,Volta,akatsi south,538.0613143544646,30.56587791442871,31.114011764526367,140.00018310546875,138.89353942871094,0.301,0.1,0.6623850440952609,0.3376149559047391,10161,92133,0.11028621666503859,171.23141460288025,270.0630798339844,NA,-1.4876728651418991,-0.26458076201837305,NA,0.5025810067935718,0.1867547478336396,-0.04490375587173781,-0.16243627508713332
2,2022,DHS 2022,224,Akatsi South,GHA14.5_2,Volta,akatsi south,538.0613143544646,30.56587791442871,31.114011764526367,140.00018310546875,138.89353942871094,0.301,0.1,0.6623850440952609,0.3376149559047391,10161,92133,0.11028621666503859,171.23141460288025,342.0086364746094,NA,-1.4876728651418991,-0.046924563303960526,NA,0.5025810067935718,0.1867547478336396,-0.04490375587173781,-0.16243627508713332
1,2014,DHS 2014,225,Anloga,GHA14.6_2,Volta,anloga,237.21038178064967,0.756853461265564,0.7648009657859802,165.96371459960938,165.7599639892578,0.316,0.1,0.6467405743545154,0.3532594256454846,9781,94895,0.10307181621792508,400.04572855394736,218.06820678710938,NA,-1.8033284614807716,-0.42188035004645397,NA,0.8637286827059248,0.29819041438064003,0.03997732715482693,0.3720126118836283
2,2022,DHS 2022,225,Anloga,GHA14.6_2,Volta,anloga,237.21038178064967,0.756853461265564,0.7648009657859802,165.96371459960938,165.7599639892578,0.316,0.1,0.6467405743545154,0.3532594256454846,9781,94895,0.10307181621792508,400.04572855394736,245.30941772460938,NA,-1.8033284614807716,-0.33946777729160343,NA,0.8637286827059248,0.29819041438064003,0.03997732715482693,0.3720126118836283
1,2014,DHS 2014,226,Central Tongu,GHA14.7_2,Volta,central tongu,684.8488424637454,35.635658264160156,36.8150520324707,113.19642639160156,112.40742492675781,0.36,0.2,0.5918170238378522,0.4081829761621478,9572,83284,0.11493203976754239,121.60931702882873,281.9547119140625,NA,-1.4339876282393622,-0.22860512216073856,NA,0.12974596141009423,0.6250683695851742,0.3379721156503846,-0.3773169355165513
